"Labels","Abbr","Group","X","Y","Z"
"60. Parietal_Sup_R","SPG.R","Parietal",26.11,-59.18,62.06
"61. Parietal_Inf_L","IPL.L","Parietal",-42.8,-45.82,46.74
"62. Parietal_Inf_R","IPL.R","Parietal",46.46,-46.29,49.54
"63. SupraMarginal_L","SMG.L","Parietal",-55.79,-33.64,30.45
"64. SupraMarginal_R","SMG.R","Parietal",57.61,-31.5,34.48
"65. Angular_L","ANG.L","Parietal",-44.14,-60.82,35.59
"66. Angular_R","ANG.R","Parietal",45.51,-59.98,38.63
"67. Precuneus_L","PCUN.L","Parietal",-7.24,-56.07,48.01
"68. Precuneus_R","PCUN.R","Parietal",9.98,-56.05,43.77
"69. Paracentral_Lobule_L","PCL.L","Frontal",-7.63,-25.36,70.07
"70. Paracentral_Lobule_R","PCL.R","Frontal",7.48,-31.59,68.09
"71. Caudate_L","CAU.L","Central",-11.46,11,9.24
"72. Caudate_R","CAU.R","Central",14.84,12.07,9.42
"73. Putamen_L","PUT.L","Central",-23.91,3.86,2.4
"74. Putamen_R","PUT.R","Central",27.78,4.91,2.46
"75. Pallidum_L","PAL.L","Central",-17.75,-0.03,0.21
"76. Pallidum_R","PAL.R","Central",21.2,0.18,0.23
"77. Thalamus_L","THA.L","Central",-10.85,-17.56,7.98
"78. Thalamus_R","THA.R","Central",13,-17.55,8.09
"79. Heschl_L","HES.L","Temporal",-41.99,-18.88,9.98
"80. Heschl_R","HES.R","Temporal",45.86,-17.15,10.41
"81. Temporal_Sup_L","STG.L","Temporal",-53.16,-20.68,7.13
"82. Temporal_Sup_R","STG.R","Temporal",58.15,-21.78,6.8
"83. Temporal_Pole_Sup_L","TPOsup.L","Temporal",-39.88,15.14,-20.18
"84. Temporal_Pole_Sup_R","TPOsup.R","Temporal",48.25,14.75,-16.86
"85. Temporal_Mid_L","MTG.L","Temporal",-55.52,-33.8,-2.2
"86. Temporal_Mid_R","MTG.R","Temporal",57.47,-37.23,-1.47
"87. Temporal_Pole_Mid_L","TPOmid.L","Temporal",-36.32,14.59,-34.08
"88. Temporal_Pole_Mid_R","TPOmid.R","Temporal",44.22,14.55,-32.23
"89. Temporal_Inf_L","ITG.L","Temporal",-49.77,-28.05,-23.17
"90. Temporal_Inf_R","ITG.R","Temporal",53.69,-31.07,-22.32
